symbol,status,days,candles,total_return,max_drawdown,total_trades,long_trades,short_trades,win_rate,profit_factor,avg_pnl,total_signals,tp_exits,sl_exits,timeout_exits,liquidations
DOGE-USDT,success,2369,681847,2.1762000002594326,-5.00780745629126,159,118,41,35.84905660377358,1.1405685152471003,1.9769896371764255,164,56,102,1,0
ZEC-USDT,success,2475,712340,-0.6373795646591679,-4.002346491877128,129,105,24,34.883720930232556,1.0071866934100029,0.09998679223507256,135,45,84,0,0
XRP-USDT,success,2555,735066,-0.9608163185582816,-4.704268266447248,170,118,52,34.11764705882353,1.0034711701937722,0.034699959562223125,173,58,112,0,0
TRX-USDT,success,2555,735069,-2.9925937093216453,-4.254913170609579,144,117,27,35.41666666666667,0.8356207803667001,-1.4871401628310388,152,51,93,0,0
BTC-USDT,success,2555,735064,-3.0643911825170655,-3.415316435960474,130,95,35,33.84615384615385,0.7382837392159807,-1.7683394272284527,133,43,86,1,0
FIL-USDT,success,1901,547331,-3.1643602501317583,-4.653727264484356,97,60,37,31.958762886597935,0.810793544059982,-2.6711455783129088,103,31,66,0,0
LINK-USDT,success,2539,730627,-3.259179555418632,-4.236919560252782,132,102,30,28.030303030303028,0.8652442982825538,-1.8790409929542087,134,37,95,0,0
ETH-USDT,success,2555,735065,-4.0902791902285385,-4.131657548727652,152,115,37,31.57894736842105,0.7729729063515671,-2.105738910479785,155,48,104,0,0
ICP-USDT,success,1694,487812,-4.514769133133213,-5.454632094285518,88,61,27,32.95454545454545,0.7059242263904699,-4.550270775610833,90,29,59,0,0
SOL-USDT,success,1966,566181,-6.689190207395987,-9.07005779426044,130,103,27,28.46153846153846,0.711886422760466,-4.569859308224648,132,37,93,0,0
